unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1652,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1653,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1654,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1655,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1656,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1657,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1658,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,0,1659,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1660,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1661,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1662,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,846,1663,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1664,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1665,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1666,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1667,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,30,1668,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1669,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,75,1670,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,18,1671,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1672,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1673,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1674,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1675,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1676,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1677,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1678,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1679,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1680,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1681,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1682,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1683,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1684,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1685,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1686,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1687,,
Stück (Piece),Fruit,,Pomagranates,Pomeranzen,,,1688,,
