unit,category,use,translation,item,subcategory,value,date,source
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1685.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1686.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1687.0,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1688.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1640.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",729.0,1641.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1642.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1643.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",3.0,1644.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",197.0,1645.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",3180.0,1646.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1647.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1648.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1649.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1650.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1651.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1652.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1653.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1654.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1655.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1656.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1657.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1658.0,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",0.0,1659.0,
