unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1686,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1687,,
Stück (Piece),Meat,,snow bunting,Schneevogel (1659) [aka: Schneeammer (Krün itz)],"Bird, wild",,1688,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1640,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",729,1641,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1642,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1643,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",3,1644,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",197,1645,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",3180,1646,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1647,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1648,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1649,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1650,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1651,,
Stück (Piece),Meat,,fieldfare,Kramßvögel [aka Krammetsvogel/Krambßvogel],"Bird, wild",,1652,,
