"id","year","country","percent"
"862",1668,"snow.bunting",
"863",1669,"snow.bunting",
"864",1670,"snow.bunting",
"865",1671,"snow.bunting",
"866",1672,"snow.bunting",
"867",1673,"snow.bunting",
"868",1674,"snow.bunting",
"869",1675,"snow.bunting",
"870",1676,"snow.bunting",
"871",1677,"snow.bunting",
"872",1678,"snow.bunting",
"873",1679,"snow.bunting",
"874",1680,"snow.bunting",
"875",1681,"snow.bunting",
"876",1682,"snow.bunting",
"877",1683,"snow.bunting",
"878",1684,"snow.bunting",
"879",1685,"snow.bunting",
"880",1686,"snow.bunting",
"881",1687,"snow.bunting",
"882",1688,"snow.bunting",
"883",1640,"Starling",
"884",1641,"Starling",107
"885",1642,"Starling",
"886",1643,"Starling",
"887",1644,"Starling",24
"888",1645,"Starling",19
"889",1646,"Starling",
"890",1647,"Starling",
"891",1648,"Starling",
"892",1649,"Starling",
"893",1650,"Starling",
"894",1651,"Starling",
"895",1652,"Starling",
"896",1653,"Starling",
"897",1654,"Starling",
"898",1655,"Starling",
"899",1656,"Starling",
"900",1657,"Starling",
"901",1658,"Starling",
"902",1659,"Starling",
"903",1660,"Starling",
"904",1661,"Starling",
"905",1662,"Starling",
"906",1663,"Starling",
"907",1664,"Starling",
"908",1665,"Starling",
"909",1666,"Starling",
"910",1667,"Starling",
"911",1668,"Starling",6
"912",1669,"Starling",
"913",1670,"Starling",
"914",1671,"Starling",
"915",1672,"Starling",
"916",1673,"Starling",
"917",1674,"Starling",
"918",1675,"Starling",
"919",1676,"Starling",
"920",1677,"Starling",
"921",1678,"Starling",
"922",1679,"Starling",
"923",1680,"Starling",
"924",1681,"Starling",
"925",1682,"Starling",
"926",1683,"Starling",
"927",1684,"Starling",
"928",1685,"Starling",
"929",1686,"Starling",
"930",1687,"Starling",
"931",1688,"Starling",
"932",1640,"swans",
"933",1641,"swans",
"934",1642,"swans",
"935",1643,"swans",
"936",1644,"swans",
"937",1645,"swans",
"938",1646,"swans",
"939",1647,"swans",
"940",1648,"swans",
"941",1649,"swans",
"942",1650,"swans",
"943",1651,"swans",
"944",1652,"swans",
"945",1653,"swans",
"946",1654,"swans",
"947",1655,"swans",
"948",1656,"swans",
"949",1657,"swans",
"950",1658,"swans",
"951",1659,"swans",0
"952",1660,"swans",
"953",1661,"swans",
"954",1662,"swans",
"955",1663,"swans",
"956",1664,"swans",
"957",1665,"swans",
"958",1666,"swans",
"959",1667,"swans",
"960",1668,"swans",
"961",1669,"swans",
"962",1670,"swans",
"963",1671,"swans",
"964",1672,"swans",
"965",1673,"swans",
"966",1674,"swans",
"967",1675,"swans",
"968",1676,"swans",
"969",1677,"swans",
"970",1678,"swans",
"971",1679,"swans",
"972",1680,"swans",
"973",1681,"swans",
"974",1682,"swans",
"975",1683,"swans",
"976",1684,"swans",
"977",1685,"swans",
"978",1686,"swans",
"979",1687,"swans",
"980",1688,"swans",
"981",1640,"thrush",
"982",1641,"thrush",1680
"983",1642,"thrush",
"984",1643,"thrush",
"985",1644,"thrush",116
"986",1645,"thrush",345
"987",1646,"thrush",2351
"988",1647,"thrush",
"989",1648,"thrush",
"990",1649,"thrush",
"991",1650,"thrush",
"992",1651,"thrush",
"993",1652,"thrush",
"994",1653,"thrush",
"995",1654,"thrush",
"996",1655,"thrush",
"997",1656,"thrush",
"998",1657,"thrush",
"999",1658,"thrush",
"1000",1659,"thrush",12
"1001",1660,"thrush",
"1002",1661,"thrush",
"1003",1662,"thrush",
"1004",1663,"thrush",18
"1005",1664,"thrush",2068
"1006",1665,"thrush",
"1007",1666,"thrush",
"1008",1667,"thrush",
"1009",1668,"thrush",
"1010",1669,"thrush",
"1011",1670,"thrush",46
"1012",1671,"thrush",
"1013",1672,"thrush",
"1014",1673,"thrush",
"1015",1674,"thrush",
"1016",1675,"thrush",
"1017",1676,"thrush",
"1018",1677,"thrush",
"1019",1678,"thrush",
"1020",1679,"thrush",
"1021",1680,"thrush",
"1022",1681,"thrush",
"1023",1682,"thrush",
"1024",1683,"thrush",
"1025",1684,"thrush",
"1026",1685,"thrush",
"1027",1686,"thrush",
"1028",1687,"thrush",
"1029",1688,"thrush",
"1030",1640,"type.of.sparrow...skylarks",
"1031",1641,"type.of.sparrow...skylarks",
"1032",1642,"type.of.sparrow...skylarks",
"1033",1643,"type.of.sparrow...skylarks",
"1034",1644,"type.of.sparrow...skylarks",
"1035",1645,"type.of.sparrow...skylarks",
"1036",1646,"type.of.sparrow...skylarks",
"1037",1647,"type.of.sparrow...skylarks",
"1038",1648,"type.of.sparrow...skylarks",
"1039",1649,"type.of.sparrow...skylarks",
"1040",1650,"type.of.sparrow...skylarks",
"1041",1651,"type.of.sparrow...skylarks",
"1042",1652,"type.of.sparrow...skylarks",
"1043",1653,"type.of.sparrow...skylarks",
"1044",1654,"type.of.sparrow...skylarks",
"1045",1655,"type.of.sparrow...skylarks",
"1046",1656,"type.of.sparrow...skylarks",
"1047",1657,"type.of.sparrow...skylarks",
"1048",1658,"type.of.sparrow...skylarks",
"1049",1659,"type.of.sparrow...skylarks",
"1050",1660,"type.of.sparrow...skylarks",
"1051",1661,"type.of.sparrow...skylarks",
"1052",1662,"type.of.sparrow...skylarks",
"1053",1663,"type.of.sparrow...skylarks",280
"1054",1664,"type.of.sparrow...skylarks",
"1055",1665,"type.of.sparrow...skylarks",
"1056",1666,"type.of.sparrow...skylarks",
"1057",1667,"type.of.sparrow...skylarks",
"1058",1668,"type.of.sparrow...skylarks",
"1059",1669,"type.of.sparrow...skylarks",
"1060",1670,"type.of.sparrow...skylarks",
"1061",1671,"type.of.sparrow...skylarks",
"1062",1672,"type.of.sparrow...skylarks",
