"date","Atlantic herring","burpot","carp","chameleon loach","cod","Commonäroach","Coregonusälavaretus","dried äääää","dried carp","dried eel","dried lamprey","Dried roe","dried salmon","dried white bream","dried zander","fish guts","Flounder","Gudgeon","Haddock","half dried white bream","half-smoked salmon","jellied eel","lamprey","oysters","perch","pickled carp","pickled eel","pickled Gudgeon","pickled herring","pickled lamprey","pickled pike","pickled salmon","pickled sturgeon","pickled zander","pike","preserved sturgeon","salmon","salmon trout","salted cod","sardines","smoked fish","Speißfische","spiced Gudgeon","sturgeon","Tench","turbot","Unclear","various small fish","Wels catfish","Zander"
1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,,,,,,,,,,,,,,,,8,,,,,,,,480,,,,,,,,,,,,,,,,96,,,,,,,,,,
1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,,0,52,,12,0,0,0,,,0,,0,23,0,,,0,,,,48,,0,,0,24,0,,,0,0,60,0,64,,2.5,,0,0,0,288,0,,,,,0,,0
1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,
1663,,,12925,,2652,1920,96,,79,0,,,48,,7150,4,,13973,,,,96,,9216,,0,136,,1752,96,1152,1920,,,12547,38.5,242,18,1305,,9180,1188,34,3,,1,,,,
1664,,,3598,,624,1080,,,,,,,64,,,20,,107,,,,226,,384,,384,1248,,156,,96,,1200,,3221,,20,,289,3648,,,,,,,,,,
1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,,0,36,,,,168,0,0,0,0,785,62.25,401,50,0,,64,,,,132,,768,,0,,0,,,0,0,,0,285,,4,0,49,48,750,156,0,0,,0,,,1,0
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,,,,1311,,,,,,,,,,,,,,,,,,,,1727,,,,,48,,,,,,24,,1,19,,,,,,,,,,,,
1671,,,15,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,
1672,,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,,,,,,300,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,450,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,,,,780,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,22,,88,,,84,,,,,,,,
1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,,,,,144,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
