"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"21","calf trunk",NA,"Meat","Meat","Beef","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7071067812,-0.7071067812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.888888889",15,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","capercaillie",NA,"Meat","Meat","bird, fowl, wild","Stück (Piece)",-0.3160472192,-0.1137769989,0.6953038822,1.049276768,NA,NA,NA,-1.428533431,NA,0.8975741025,0.6447363271,NA,NA,-1.428533431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.11111111",99,0,NA,"22",NA,NA,"26","51","94",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"86","8",NA,NA,NA,"",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","capon",NA,"Meat","Meat","bird, fowl","Stück (Piece)",1.146763278,0.798221929,1.146763278,0.9071411006,NA,NA,NA,-1.16232316,-0.9009171479,0.318977574,-0.3563212899,-0.9880524852,-1.140539325,-0.7266464733,-0.7919979763,NA,NA,NA,NA,NA,NA,NA,-0.007779940828,NA,1.756710639,NA,NA,NA,NA,NA,NA,NA,"46.28571429",134,0,NA,"842",NA,NA,"609","858","871",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,12,"515","250",8,NA,NA,"0",NA,20,17,NA,NA,NA,NA,NA,NA,NA,53,NA,134,NA,NA,NA,NA,NA,NA,NA
"38","coot",NA,"Meat","Meat","Bird, wild","Stück (Piece)",-0.3061199434,-0.1603485418,-0.4616094384,-0.4421732516,NA,NA,NA,-0.5490722794,NA,-0.330415177,NA,2.249738632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.125",83,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"43","8",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","corned beef",NA,"Meat","Meat","Beef","Stof (fluids)",1.906573126,-0.1695500602,0.9723176923,NA,NA,NA,NA,-1.103805494,-0.6193767506,0.9031135861,0.1072663646,NA,-0.0311418478,-0.8615911224,-1.103805494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83.11111111",576,0,NA,"245",NA,NA,"540","120","192",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"288","",576,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","cow tongue",NA,"Meat","Meat","Beef","Stof (fluids)",0.09325212603,-0.3587836035,1.243888529,2.024677516,-0.7286310186,NA,NA,-0.2355011318,-0.6053485469,1.654830101,-0.9341018048,-0.1327657387,-0.7697251758,-0.2663217498,NA,-0.9854695013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",65,1,NA,"60",NA,NA,"168","328","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,NA,NA,18,"476","275",NA,NA,NA,"46",NA,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","cow trunk",NA,"Meat","Meat","Beef","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.154532452,-0.5943282817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5602041698,NA,NA,NA,NA,NA,NA,"23.19230769",75,0.75,NA,"164",NA,NA,"125","289","542.125",NA,7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,19,NA,NA,10,"494","10.25",21.5,NA,NA,"0.75",NA,18.25,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","crabs",NA,"Seafood","Meat","","Stück (Piece)",-0.6016126619,NA,-0.6600216582,NA,NA,NA,NA,NA,NA,-0.2024845205,-0.290098015,NA,NA,1.754216856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"386.2",3315,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,3315,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA
"44","curlew",NA,"Meat","Meat","Bird, wild","Stück (Piece)",1.24557906,0.2676955979,1.871424476,1.675847784,-0.4754958336,-1.257802604,NA,-0.006111771641,NA,-0.3190344796,0.6197336444,NA,-0.08434244864,-1.179571927,-0.7101878646,0.6979643214,-0.2212461334,-1.257802604,NA,NA,NA,NA,-0.8666492186,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.625",17,0,NA,"12",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"11","13",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Deer",NA,"Meat","Meat","venison, wild","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.22222222",72,0,NA,"31.5",NA,NA,"17.25","37.75","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"44","12",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","deer tongue",NA,"Meat","Meat","other","Stück (Piece)",-0.6746075253,0.8914456584,NA,0.7709800289,NA,NA,NA,-1.156470043,NA,NA,0.1686518813,-0.8352283646,0.3292727207,1.975636324,-0.754917945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7147627351,NA,NA,NA,NA,NA,NA,"1",1,1,NA,"41",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","doves",NA,"Meat","Meat","Bird, wild","Stück (Piece)",0.9861231457,0.8414090572,1.333436958,1.015065963,NA,NA,NA,-1.358245087,NA,-0.7504459159,-0.7793887336,NA,0.0888957972,-1.06881691,0.4940952449,0.957180328,0.6098665157,NA,NA,NA,NA,NA,-1.126702546,NA,-1.242473817,NA,NA,NA,NA,NA,NA,NA,"25.08333333",80,1,NA,"121",NA,NA,"263","","385",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,NA,NA,NA,"","243",10,NA,NA,"50",NA,80,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
"50","dried beef",NA,"Meat","Meat","Beef","Stück (Piece)",1.378653598,-0.4929264262,-0.9319390246,-0.0770197541,NA,NA,NA,NA,NA,1.055170631,NA,NA,-0.9319390246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.64285714",94,0,NA,"506",NA,NA,"482","611","643",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"142","152",NA,NA,NA,"9",NA,10,64,80,68,NA,NA,NA,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA
"54","dried geese",NA,"Meat","Meat","Bird, fowl","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.44444444",79,0,NA,"297",NA,NA,"108","128","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"117","44",NA,NA,NA,"15",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","dried lamb",NA,"Meat","Meat","other","Stück (Piece)",-0.3977834013,-0.3977834013,2.040801798,-0.3977834013,NA,NA,NA,-0.4496681928,NA,NA,NA,NA,-0.3977834013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,1,NA,"2",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","dried mutton",NA,"Meat","Meat","other","Stück (Piece)",0.9703833733,-0.5567773453,0.206803014,NA,NA,NA,NA,-1.511252794,NA,1.161278463,NA,NA,-0.2704347106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.142857143",2,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","dried sheep",NA,"Meat","Meat","other","Stück (Piece)",NA,NA,NA,-0.8873170951,NA,NA,NA,-0.8441365876,NA,NA,NA,NA,-0.8187362891,NA,NA,0.9262642195,1.383469593,NA,NA,0.2404561594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.875",46,0,NA,"8",NA,NA,"148.25","","35.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ducks",NA,"Meat","Meat","bird","Stück (Piece)",-0.7088132903,-0.6669151698,-0.7036924089,-0.7069511516,0.259033292,NA,NA,0.1608054763,0.4089354563,-0.7041579435,-0.6915885074,NA,-0.7041579435,1.689621338,0.3391052555,1.286933847,-0.5253926296,NA,-0.5579800567,NA,NA,NA,-0.03565015512,NA,2.920960544,-0.4322856953,NA,NA,NA,NA,-0.6278102574,NA,"44.38461538",112,0,NA,"742",NA,NA,"304","982","490",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"4617","759",NA,NA,NA,"41",NA,78,4,NA,NA,NA,NA,NA,NA,NA,10,NA,56,NA,NA,NA,NA,NA,12,NA
"66","eggs",NA,"Eggs","Meat","","Stück (Piece)",-0.5856916848,NA,-0.03378990489,-0.3294515727,NA,NA,NA,-1.039039575,NA,0.8729058763,NA,NA,-0.684245574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.799312435,NA,NA,NA,NA,NA,NA,NA,"1,528.63",7803,1,NA,"104832",NA,NA,"74731","117328","115500",NA,2085,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1874,NA,NA,2407,"130298","30807",NA,NA,NA,"1500",NA,5158,2257,4293,400,NA,330,NA,NA,NA,1452,NA,7803,600,NA,NA,NA,NA,180,NA
"67","fattened pig",NA,"Meat","Meat","Pork","Stück (Piece)",1.949218063,0.4831395199,-0.2165797848,-0.04997995034,NA,NA,NA,-1.382778626,NA,-0.6497393544,1.282818725,NA,-0.6497393544,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7163792882,NA,-0.04997995034,NA,NA,NA,NA,NA,NA,NA,"1.142857143",2,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","fieldfare",NA,"Meat","Meat","Bird, wild","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5773502692,1.154700538,NA,-0.5773502692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.2",81,0,NA,"729",NA,NA,"3","197","3180",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"1423","762",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,40,NA,NA,NA,NA,NA,NA,NA
"70","finch",NA,"Meat","Meat","Bird, wild","Stück (Piece)",-0.171038248,-0.4163799972,-0.1514109081,-0.3476843074,NA,NA,NA,-0.3574979774,NA,-0.1317835681,-0.03364686846,NA,-0.6028397266,-0.004205858558,-0.3574979774,-0.1219698982,-0.1219698982,NA,NA,NA,NA,NA,3.41095129,NA,NA,NA,NA,NA,NA,NA,-0.5930260567,NA,"0.875",1,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","geese",NA,"Meat","Meat","bird, fowl","Stück (Piece)",1.415799849,-0.441969265,1.475727885,1.415799849,-0.7865554716,0.2771671662,0.9663395793,-0.6966634177,NA,1.895224136,-0.441969265,NA,-0.6217533728,-0.7790644671,-0.8315014985,-0.6816814087,-0.7715734626,-0.6816814087,NA,NA,NA,NA,-0.7116454266,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.6875",159,1,NA,"1165",NA,NA,"580","882","2876",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,23,NA,NA,42,"1730","654",83,NA,NA,"12",NA,41,6,NA,7,NA,NA,NA,NA,NA,128,NA,159,NA,NA,NA,NA,NA,4,NA
"77","gray partridge",NA,"Meat","Meat","bird, fowl, wild","Stück (Piece)",0.3743059662,-0.6321266731,0.5560229705,-0.4224532066,NA,NA,NA,-0.7998654463,NA,-0.5203008243,-0.7299742908,NA,-0.1708450468,NA,NA,NA,NA,2.345236551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",132,0,NA,"52",NA,NA,"58","123","516",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"3639","62",NA,NA,NA,"",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ham",NA,"Meat","Meat","pork","Stück (Piece)",1.784693225,0.0985413437,1.51370453,-0.7746444519,NA,NA,NA,-0.9251937269,NA,-0.1423374965,1.062056704,-0.8047543069,NA,-0.6542050318,-0.8649740169,NA,NA,NA,NA,NA,NA,NA,-0.2928867715,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.44444444",84,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"145","82",NA,NA,NA,"3",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","hazel grouse",NA,"Meat","Meat","bird, fowl, wild","Stück (Piece)",-0.3079617533,-0.3916243807,-0.2822194063,-0.3433574803,NA,NA,NA,-0.3015261665,-0.1953389855,-0.5106827353,-0.3980599675,0.1554004913,-0.4559802481,0.5125755549,-0.3755354139,NA,-0.4978115618,NA,NA,NA,NA,NA,0.5157933483,NA,3.678884226,-0.4012777608,NA,NA,NA,NA,-0.4012777608,NA,"21.25",82,0,NA,"595",NA,NA,"177","485","1057",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"1696","487",4,NA,NA,"",NA,9,2,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","hen",NA,"Meat","Meat","bird, fowl","Stück (Piece)",NA,0.5975904854,0.4855422694,1.718072645,0.6349398907,-0.6349398907,NA,NA,NA,NA,NA,NA,NA,NA,-1.008433944,-0.784337512,-1.008433944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"178",1326,1,NA,"5596",NA,NA,"3253","6603","5619",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,89,NA,NA,122,"14760","4210",231,NA,NA,"62",NA,342,66,NA,28,NA,NA,NA,NA,NA,343,NA,1326,58,NA,NA,NA,NA,58,NA
"87","lamb",NA,"Meat","Meat","Other","Stück (Piece)",-1.15284311,NA,0.5197243529,0.6331187572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.29411765",85,1,NA,"463.5",NA,NA,"140","485.75","366.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,8,NA,NA,1,"1,506.75","85.25",3.5,NA,NA,"4",NA,25,6.5,3,12,NA,NA,NA,NA,NA,6,NA,1,3,NA,NA,NA,NA,NA,NA
"90","lark",NA,"Meat","Meat","Bird, wild","Stück (Piece)",-0.3070255982,-0.4379689659,-0.20454818,-0.261480079,-0.489207675,-0.5062872447,3.359388698,-0.1305367113,NA,NA,-0.4949008649,NA,-0.4436621558,-0.2842528386,NA,0.370464,0.1712023534,NA,NA,NA,NA,NA,-0.3411847376,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.66666667",190,0,NA,"2679",NA,NA,"1232","3229","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"24",NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Moose",NA,"Meat","Meat","venison, wild","Stück (Piece)",0.8297002836,NA,-1.110334203,NA,NA,NA,NA,NA,NA,0.2806339195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.05555556",74,1,NA,"15.75",NA,NA,"","10.75","54.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,NA,NA,NA,"5","10",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Moose and pickeled game (probably also moose)",NA,"Meat","Meat","venison, wild","Thonne",0.8274902285,-1.111201164,NA,0.2837109355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.571428571",43,1,NA,"28.87",NA,NA,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"28","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","mutton",NA,"Meat","Meat","Other","Stück (Piece)",0.1561706831,0.1561706831,1.045240575,0.4673451452,NA,0.06726369398,-0.3328177572,-0.7551259557,NA,2.734473369,1.400868531,NA,-0.5550852301,-0.7551259557,-0.7466797918,-0.728453859,-0.7440125821,-0.6884457139,NA,NA,NA,NA,-0.7217858348,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76.66071429",314,1,NA,"737.25",NA,NA,"194.12","860.75","931.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,16.25,NA,NA,19.5,"2,689.50","671.5",32,NA,NA,"4",NA,15.5,5,NA,NA,NA,NA,NA,NA,NA,283,NA,314,NA,NA,NA,NA,NA,NA,NA
