translation,original,notes,category,macrocategory,subcategory,unit of measure,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
coarse salt,Grobsalz,,Salt,Flavorings,,Stof (Fluids),-0.8053414565,0.3973255416,-0.6610214168,-0.6610214168,,,,-0.9336259363,,-0.484630257,0.0124721022,,,,,,,,,,,,1.952774859,,1.18306798,,,,,,,,46.09090909,78,1,,3812,,,2696,4382,4826,,,,,,,,,,,,,24,,,,4786,577,,,,24,,60,14,,,,,,,,48,,,,,,,,,
cod,Dorsch,,Fish,Fish,,Stof (fluids),,,,,,,,,,,,,,,-0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,61.9,192,1,,1356,,,744,1668,2256,,,,,,,,,,,,,12,,,,2652,624,,,,,,,,,,,,,,,192,,144,,,,,,,
common bream,Breßem,,Fish,Fish,,Stück (Piece),-0.7071067812,,,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66666667,225,0,,523,,,1196,694,2076,,,,,,,,,,,,,0,,,,13973,107,,,,64,,,,,,225,,,,,,,,,,,,,,
cooking wine,Kochwein,,Acid,Flavorings,,Stof (fluids),,,,,,,,-1.097730108,,0.23863698,0.8590931278,,,,,,,,,,,,,,,,,,,,,,4.555555556,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,,,,,,,,,,
coot,Wasserhünner/Wasserhüner,,Meat,Meat,"Bird, wild",Stück (Piece),-0.3061199434,-0.1603485418,-0.4616094384,-0.4421732516,,,,-0.5490722794,,-0.330415177,,2.249738632,,,,,,,,,,,,,,,,,,,,,18.125,83,0,,,,,,,,,,,,,,,,,,,,0,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,
corned beef,Pökelrindfleisch,,Meat,Meat,Beef,Stof (fluids),1.906573126,-0.1695500602,0.9723176923,,,,,-1.103805494,-0.6193767506,0.9031135861,0.1072663646,,-0.0311418478,-0.8615911224,-1.103805494,,,,,,,,,,,,,,,,,,83.11111111,576,0,,245,,,540,120,192,,,,,,,,,,,,,0,,,,288,,576,,,,,,,,,,,,,,,,,,,,,,,
cow tongue,Rindtzung,,Meat,Meat,Beef,Stof (fluids),0.09325212603,-0.3587836035,1.243888529,2.024677516,-0.7286310186,,,-0.2355011318,-0.6053485469,1.654830101,-0.9341018048,-0.1327657387,-0.7697251758,-0.2663217498,,-0.9854695013,,,,,,,,,,,,,,,,,25,65,1,,60,,,168,328,,,,,,,,,,,,,,4,,,18,476,275,,,,46,,11,4,,,,,,,,,,,,,,,,,
cow trunk,Ochßenrümpffe,,Meat,Meat,Beef,Stück (Piece),,,,,,,,,,,,,,1.154532452,-0.5943282817,,,,,,,,,,,-0.5602041698,,,,,,,23.19230769,75,0.75,,164,,,125,289,542.125,,7,,,,,,,,,,,19,,,10,494,10.25,21.5,,,0.75,,18.25,,0.75,,,,,,,,,,,,,,,,
crabs,Kleinsalz,,Seafood,Meat,,Stück (Piece),-0.6016126619,,-0.6600216582,,,,,,,-0.2024845205,-0.290098015,,,1.754216856,,,,,,,,,,,,,,,,,,,386.2,3315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315,240,,,,,,,,,,,300,,,,,,
crucian carp,Karausen/Caraussen/Carussen,,Fish,Fish,,,0.5975155173,,,,,,,-1.394202874,,-0.2323671456,1.261421648,,-0.2323671456,,,,,,,,,,,,,,,,,,,,48.5,260,1,,1267,,,,1000,,,,,,,,,,,,,,,,,,4560,360,,,,,,260,,,,,,,,,,,,,,,,,,
curlew,Brachvogel,,Meat,Meat,"Bird, wild",Stück (Piece),1.24557906,0.2676955979,1.871424476,1.675847784,-0.4754958336,-1.257802604,,-0.006111771641,,-0.3190344796,0.6197336444,,-0.08434244864,-1.179571927,-0.7101878646,0.6979643214,-0.2212461334,-1.257802604,,,,,-0.8666492186,,,,,,,,,,4.625,17,0,,12,,,,,,,,,,,,,,,,,,0,,,,11,13,,,,1,,,,,,,,,,,,,,,,,,,,
currants,Korinthen/Corinthen,,Fruit,Organics,preserved,Pfund (lb),,,,-0.6710189489,,-0.1032336845,,,,1.445271582,,,-0.6710189489,,,,,,,,,,,,,,,,,,,,40.5,91,10,,434,,,245.75,580,663.25,,30,,,,,,,,242.5,,,42,,,,1937,416,,,,6,,12,24,60,36.5,10,,,,,20,,,,,,,,,
dates,Dattelln,,Fruit,Organics,,Pfund (lb),0.9731762801,-0.06711560552,1.241638702,,,,,-1.140965294,,0.7718294635,-0.7718294635,,,,,,,,,,,,-1.006734083,,,,,,,,,,9,43,1,,,,,,,0,,,,,,,,,,27,,,,,,,28,,,,,0,,,,,,,,,,,,,,,,,,,,
Deer,Hirsch,,Meat,Meat,"venison, wild",Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.22222222,72,0,,31.5,,,17.25,37.75,,,,,,,,,,,,,,0,,,,44,12,,,,,,,,,,,,,,,4,,,,,,,,,
deer tongue,Hirschzungen,,Meat,Meat,other,Stück (Piece),-0.6746075253,0.8914456584,,0.7709800289,,,,-1.156470043,,,0.1686518813,-0.8352283646,0.3292727207,1.975636324,-0.754917945,,,,,,,,,,,-0.7147627351,,,,,,,1,1,1,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doves,Wilde und Zahme Tauben,,Meat,Meat,"Bird, wild",Stück (Piece),0.9861231457,0.8414090572,1.333436958,1.015065963,,,,-1.358245087,,-0.7504459159,-0.7793887336,,0.0888957972,-1.06881691,0.4940952449,0.957180328,0.6098665157,,,,,,-1.126702546,,-1.242473817,,,,,,,,25.08333333,80,1,,121,,,263,,385,,,,,,,,,,,,,2,,,,,243,10,,,50,,80,12,,,,,,,,,,,13,,,,,,
dried beef,Treügrindtfleisch,,Meat,Meat,Beef,Stück (Piece),1.378653598,-0.4929264262,-0.9319390246,-0.0770197541,,,,,,1.055170631,,,-0.9319390246,,,,,,,,,,,,,,,,,,,,41.64285714,94,0,,506,,,482,611,643,,,,,,,,,,,,,0,,,,142,152,,,,9,,10,64,80,68,,,,,,8,,4,,,,,,,
dried carp,Treüge Karpffen,,Fish,Fish,,Stück (Piece),,-0.2816816752,-0.4049174081,-0.07312889645,,,,-0.6134701869,,-0.3006410187,-0.5565921563,,,,,,2.230431342,,,,,,,,,,,,,,,,22,88,1,,732,,,135,0,300,,,,,,,,,,,,,,,,,79,,,,,0,,,,,,,,,,,,,,,,,,,,
dried common roach,Treüge Plözen/Plötzen,,Fish,Fish,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.11111111,300,0,,,,,180,1260,412,,,,,,,,,,,,,0,,,,1920,1080,,,,,,,,,300,,,,,,,,,,,,,,,
dried eel,Treüge Aal,,Fish,Fish,,Stück (Piece),1.062856056,-0.7393781261,-0.2195028812,1.68670635,,,,-1.016644923,,-0.7047197764,1.097514406,,-0.4967696785,-0.6700614268,,,,,,,,,,,,,,,,,,,1.428571429,2,1,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
dried geese,Treüge Gänße,,Meat,Meat,"Bird, fowl",Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.44444444,79,0,,297,,,108,128,60,,,,,,,,,,,,,0,,,,117,44,,,,15,,10,,,,,,,,,,,,,,,,,,
dried lamb,Treüge Lämmer,,Meat,Meat,other,Stück (Piece),-0.3977834013,-0.3977834013,2.040801798,-0.3977834013,,,,-0.4496681928,,,,,-0.3977834013,,,,,,,,,,,,,,,,,,,,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried lamprey,dried lamprey,,Fish,Fish,,Stück (Piece),1.788784132,,-0.4420793735,-0.4420793735,,,,-0.4625460112,,,,,-0.4420793735,,,,,,,,,,,,,,,,,,,,7.25,49,0,,0,,,0,2500,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried maraena whitefish,Treüge Schnepeln,,Fish,Fish,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,2,0,,90,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried mutton,Treüge Hammel,,Meat,Meat,other,Stück (Piece),0.9703833733,-0.5567773453,0.206803014,,,,,-1.511252794,,1.161278463,,,-0.2704347106,,,,,,,,,,,,,,,,,,,,1.142857143,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried pike-perch,Treüge gerßen Zanten,,Fish,Fish,,Stück (Piece),,,,,,-0.6481099772,0.8527762858,-0.7845541829,,-0.7163320801,0.5116657715,,1.944329932,-0.6481099772,-0.5116657715,,,,,,,,,,,,,,,,,,26.75,85,0,,492,,,158,288,,,,,,,,,,,,,,0,,,,7150,,,,,50,,,,,,,,,,,,,,,,,,,,
dried plums,Brunellen,"Type of plum tree, according to Krünitz",Fruit,Organics,,Pfund (lb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,41,0,,,,,,,,,,,,,,,,,100,24,,0,,,,0,150,,,,6,,2,4,,,,,,,,,,,,,,,,,
dried roe,Treüge Rögen,,Fish,Fish,,Stück (Piece),0.9771024503,0.2426361789,1.239411833,-1.409912932,,,,-1.43614387,,0.2426361789,0.4787146233,,-0.3344444629,,,,,,,,,,,,,,,,,,,,7.857142857,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,,
dried salmon,Treüge Lächße,,Fish,Fish,,Stück (Piece),1.607977056,-0.2150201877,,0.2290432434,,,,-0.8226859354,,,,,-0.7993141759,,,,,,,,,,,,,,,,,,,,44.125,103,0,,61,,,37,8,0,,,,,,,,,,,,,0,,,,48,64,,,,62.25,,,,,,,,,,,,,,,,,,,,
dried sheep,Treüge Schöpsen und Schaaf,,Meat,Meat,other,Stück (Piece),,,,-0.8873170951,,,,-0.8441365876,,,,,-0.8187362891,,,0.9262642195,1.383469593,,,0.2404561594,,,,,,,,,,,,,9.875,46,0,,8,,,148.25,,35.25,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried white bream,Treüge Breßem,,Fish,Fish,,Stück (Piece),1.379323033,0.167755504,1.594712816,0.4369927326,,,,-1.393820422,,0.2216029497,0.733153684,,-0.4784138447,0.7062299612,-1.28612553,,,,,,,,-1.124583193,,0.1139080583,,,,,,-1.070735748,,194.4545455,900,1,,,,,,,1080,,,,,,,,,,,,,23,,,,,,,,,401,,,,720,900,,,450,,,,,,,,,,,,
ducks,Wilde und Zahme Enten,,Meat,Meat,bird,Stück (Piece),-0.7088132903,-0.6669151698,-0.7036924089,-0.7069511516,0.259033292,,,0.1608054763,0.4089354563,-0.7041579435,-0.6915885074,,-0.7041579435,1.689621338,0.3391052555,1.286933847,-0.5253926296,,-0.5579800567,,,,-0.03565015512,,2.920960544,-0.4322856953,,,,,-0.6278102574,,44.38461538,112,0,,742,,,304,982,490,,,,,,,,,,,,,0,,,,4617,759,,,,41,,78,4,,,,,,,,10,,56,,,,,,12,
