"","translation","original","notes","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"58","dried mutton","Treüge Hammel","","Meat","Meat","other","Stück (Piece)",0.9703833733,-0.5567773453,0.206803014,,,,,-1.511252794,,1.161278463,,,-0.2704347106,,,,,,,,,,,,,,,,,,,,"1.142857143",2,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"0",,,,,,,,,,,,,,,,,,,,
"63","dried sheep","Treüge Schöpsen und Schaaf","","Meat","Meat","other","Stück (Piece)",,,,-0.8873170951,,,,-0.8441365876,,,,,-0.8187362891,,,0.9262642195,1.383469593,,,0.2404561594,,,,,,,,,,,,,"9.875",46,0,,"8",,,"148.25","","35.25",,,,,,,,,,"",,,0,,,,"","",,,,"0",,,,,,,,,,,,,,,,,,,,
"65","ducks","Wilde und Zahme Enten","","Meat","Meat","bird","Stück (Piece)",-0.7088132903,-0.6669151698,-0.7036924089,-0.7069511516,0.259033292,,,0.1608054763,0.4089354563,-0.7041579435,-0.6915885074,,-0.7041579435,1.689621338,0.3391052555,1.286933847,-0.5253926296,,-0.5579800567,,,,-0.03565015512,,2.920960544,-0.4322856953,,,,,-0.6278102574,,"44.38461538",112,0,,"742",,,"304","982","490",,,,,,,,,,"",,,0,,,,"4617","759",,,,"41",,78,4,,,,,,,,10,,56,,,,,,12,
"66","eggs","Eÿer","","Eggs","Meat","","Stück (Piece)",-0.5856916848,,-0.03378990489,-0.3294515727,,,,-1.039039575,,0.8729058763,,,-0.684245574,,,,,,,,,,,,1.799312435,,,,,,,,"1,528.63",7803,1,,"104832",,,"74731","117328","115500",,2085,,,,,,,,"",,,1874,,,2407,"130298","30807",,,,"1500",,5158,2257,4293,400,,330,,,,1452,,7803,600,,,,,180,
"67","fattened pig","Is this Schweinschmalz? If so, then the values are missing and it was measured in stof. 177 in 174, 88 in 1645, 158 in 1646","","Meat","Meat","Pork","Stück (Piece)",1.949218063,0.4831395199,-0.2165797848,-0.04997995034,,,,-1.382778626,,-0.6497393544,1.282818725,,-0.6497393544,,,,,,,,,,-0.7163792882,,-0.04997995034,,,,,,,,"1.142857143",2,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"0",,,,,,,,,,,,,,,,,,,,
"68","fieldfare","Kramßvögel/Krammetsvogel/Krambßvogel","","Meat","Meat","Bird, wild","Stück (Piece)",,,,,,,,,,-0.5773502692,1.154700538,,-0.5773502692,,,,,,,,,,,,,,,,,,,,"32.2",81,0,,"729",,,"3","197","3180",,,,,,,,,,"",,,0,,,,"1423","762",,,,"2",,,,,,,,,,,20,,40,,,,,,,
"70","finch","Parießvogel","","Meat","Meat","Bird, wild","Stück (Piece)",-0.171038248,-0.4163799972,-0.1514109081,-0.3476843074,,,,-0.3574979774,,-0.1317835681,-0.03364686846,,-0.6028397266,-0.004205858558,-0.3574979774,-0.1219698982,-0.1219698982,,,,,,3.41095129,,,,,,,,-0.5930260567,,"0.875",1,0,,"",,,"","","",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"74","geese","Gänße","","Meat","Meat","bird, fowl","Stück (Piece)",1.415799849,-0.441969265,1.475727885,1.415799849,-0.7865554716,0.2771671662,0.9663395793,-0.6966634177,,1.895224136,-0.441969265,,-0.6217533728,-0.7790644671,-0.8315014985,-0.6816814087,-0.7715734626,-0.6816814087,,,,,-0.7116454266,,,,,,,,,,"52.6875",159,1,,"1165",,,"580","882","2876",,,,,,,,,,"",,,23,,,42,"1730","654",83,,,"12",,41,6,,7,,,,,,128,,159,,,,,,4,
"77","gray partridge","Rephüner/Raphünner","","Meat","Meat","bird, fowl, wild","Stück (Piece)",0.3743059662,-0.6321266731,0.5560229705,-0.4224532066,,,,-0.7998654463,,-0.5203008243,-0.7299742908,,-0.1708450468,,,,,2.345236551,,,,,,,,,,,,,,,"45",132,0,,"52",,,"58","123","516",,,,,,,,,,"",,,0,,,,"3639","62",,,,"",,10,,,,,,,,,132,,,,,,,,,
"81","ham","Schincken","","Meat","Meat","pork","Stück (Piece)",1.784693225,0.0985413437,1.51370453,-0.7746444519,,,,-0.9251937269,,-0.1423374965,1.062056704,-0.8047543069,,-0.6542050318,-0.8649740169,,,,,,,,-0.2928867715,,,,,,,,,,"16.44444444",84,0,,"",,,"","","",,,,,,,,,,"",,,0,,,,"145","82",,,,"3",,9,,,,,,,,,,,,,,,,,,
"82","hazel grouse","Haßelhüner/Haaselhüner","","Meat","Meat","bird, fowl, wild","Stück (Piece)",-0.3079617533,-0.3916243807,-0.2822194063,-0.3433574803,,,,-0.3015261665,-0.1953389855,-0.5106827353,-0.3980599675,0.1554004913,-0.4559802481,0.5125755549,-0.3755354139,,-0.4978115618,,,,,,0.5157933483,,3.678884226,-0.4012777608,,,,,-0.4012777608,,"21.25",82,0,,"595",,,"177","485","1057",,,,,,,,,,"",,,0,,,,"1696","487",4,,,"",,9,2,,,,,,,,21,,,,,,,,,
"83","hen","Hüner","","Meat","Meat","bird, fowl","Stück (Piece)",,0.5975904854,0.4855422694,1.718072645,0.6349398907,-0.6349398907,,,,,,,,,-1.008433944,-0.784337512,-1.008433944,,,,,,,,,,,,,,,,"178",1326,1,,"5596",,,"3253","6603","5619",,,,,,,,,,"",,,89,,,122,"14760","4210",231,,,"62",,342,66,,28,,,,,,343,,1326,58,,,,,58,
"86","lamb","Lämm","","Meat","Meat","Other","Stück (Piece)",-1.15284311,,0.5197243529,0.6331187572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.29411765",85,1,,"463.5",,,"140","485.75","366.5",,,,,,,,,,"",,,8,,,1,"1,506.75","85.25",3.5,,,"4",,25,6.5,3,12,,,,,,6,,1,3,,,,,,
"89","lark","Lÿrchen","","Meat","Meat","Bird, wild","Stück (Piece)",-0.3070255982,-0.4379689659,-0.20454818,-0.261480079,-0.489207675,-0.5062872447,3.359388698,-0.1305367113,,,-0.4949008649,,-0.4436621558,-0.2842528386,,0.370464,0.1712023534,,,,,,-0.3411847376,,,,,,,,,,"41.66666667",190,0,,"2679",,,"1232","3229","60",,,,,,,,,,"",,,0,,,,"","",,,,"24",,190,,,,,,,,,,,,,,,,,,
"93","Moose","Elend und Kälber","","Meat","Meat","venison, wild","Stück (Piece)",0.8297002836,,-1.110334203,,,,,,,0.2806339195,,,,,,,,,,,,,,,,,,,,,,,"18.05555556",74,1,,"15.75",,,"","10.75","54.25",,,,,,,,,,"",,,1,,,,"5","10",,,,"",,,,,,,,,,,4.5,,,,,,,,,
"95","mutton","Hammel und Schöpßen","","Meat","Meat","Other","Stück (Piece)",0.1561706831,0.1561706831,1.045240575,0.4673451452,,0.06726369398,-0.3328177572,-0.7551259557,,2.734473369,1.400868531,,-0.5550852301,-0.7551259557,-0.7466797918,-0.728453859,-0.7440125821,-0.6884457139,,,,,-0.7217858348,,,,,,,,,,"76.66071429",314,1,,"737.25",,,"194.12","860.75","931.25",,,,,,,,,,"",,,16.25,,,19.5,"2,689.50","671.5",32,,,"4",,15.5,5,,,,,,,,283,,314,,,,,,,
"99","oxen","Ochßen","","Meat","Meat","Beef","Stück (Piece)",-0.2966199565,-0.3233513945,-0.3536470243,,,-0.383942654,,-0.4142382838,,-0.2431570805,-0.3180051069,,-0.330479778,2.663441279,,,,,,,,,,,,,,,,,,,"9.696428571",70,1,,"1",,,"1","1","5",,1,,,,,,,,"",,,25,,,12.5,"4","11",26,,,"2",,9,1,1,1,1,1,1,1,1,14,,,1,1,1,1,1,2,1
"120","pig","Schweine","","Meat","Meat","Pork","Stück (Piece)",0.7812562142,0.261621596,-0.9508591799,0.6946504445,,,,0.1533643838,0.04510717172,-0.9292077374,-0.2580130222,,-0.6910418707,-0.7126933132,-0.8859048526,,,,,,,,2.491720166,,,,,,,,,,"15.84615385",88,1,,"59.75",,,"26","53","60.25",,1,,,,,,,,"",,,,,,2,"74.75","23.5",2,,,"0.5",,1,3,1,1,1,1,1,1,1,15,,26,1,1,1,1,,2,
"121","pig's head","Schweinköpffe","","Meat","Meat","Pork","Stück (Piece)",1.47643059,,,-0.2427009189,,,,-0.6269773738,,,,,-0.6067522972,,,,,,,,,,,,,,,,,,,,"16.15384615",95,0,,"190.5",,,"142.5","145.5","115",,,,,,,,,,"",,,0,,,,"89","2",,,,"",,9,,4,,,2,2,,,,,7,,,,,,,
"131","quail","Wachtelln","","Meat","Meat","Bird, wild","Stück (Piece)",1.616801405,1.333275361,0.04452061838,0.4311470412,,,,-1.16690884,,0.8950987486,-0.9864831758,,-0.9091578912,-0.6771820375,-0.9349329861,,,,,,,,0.3538217566,,,,,,,,,,"19.75",93,0,,"3",,,"649","1","",,,,,,,,,,"",,,0,,,,"26","13",,,,"",,,,,,,,,,,,,,,,,,,,
"133","rabbit","Haasen","","Meat","Meat","wild","Stück (Piece)",0.8728334643,0.8250069731,1.398924867,0.944573201,,-0.8010937275,1.518491095,-0.9684864466,,-1.088052675,0.7293539907,,0.05978311399,-1.064139429,-0.8728334643,,,-0.7532672363,,,,,-0.8010937275,,,,,,,,,,"36.09090909",98,0,,"87",,,"87","249","457",,,,,,,,,,"",,,0,,,,"692","109",,,,"10",,19,9,,,,,,,,59,,,,,,,,,
"137","roe deer","Rehe","","Meat","Meat","venison, wild","Stück (Piece)",0.7902982201,1.436524375,-0.2559726978,1.92888716,,,,-1.040675886,,0.05175404273,-0.1944273497,,-0.1944273497,-1.086834897,,,,,,,,,-0.4406087422,,,-0.9945168752,,,,,,,"31.18181818",105,0,,"67",,,"62.75","80.75","127.75",,,,,,,,,,"",,,0,,,,"51","3",,,,"1",,4,,,,,,,,,8,,,1,,,,,,
"142","sandpipers","Schneppen or Waßerhüner","","Meat","Meat","Bird, wild","Stück (Piece)",-0.6616904875,-0.5196691145,-0.3776477416,0.9005446147,,,,-0.2356263687,-0.8037118604,-0.6616904875,2.60480109,,-0.09360499579,0.3679644662,,,,,,,,,-0.5196691145,,,,,,,,,,"25.88888889",50,0,,"167",,,"125","256","25",,,,,,,,,,"",,,0,,,,"311","",,,,"6",,41,,,,,,,,,,,,,,,,,,
"144","sheep","Schaafe","","Meat","Meat","Other","Stück (Piece)",-0.5976246694,0.2930288702,1.480566923,1.210671911,,,,-0.813540679,,-0.7865511778,,,-0.7865511778,,,,,,,,,,,,,,,,,,,,"8.022727273",27,1,,"1,268.50",,,"1,164.75","1,172.25","1381",,,,,,,,,,"",,,6,,,2,"1,093.50","190.5",,,,"1",,10.25,,,,,,,,,4,,,,,,,,,
"145","small birds","Kleine Vogel","","Meat","Meat","Bird, wild","Stück (Piece)",-0.005795845966,-0.2144463008,-0.2144463008,-0.1912629169,,,,2.335725924,,-0.8751727409,,,-0.8056225893,,,,,,,,,,-0.02897922983,,,,,,,,,,"76.4",426,0,,"649",,,"50","296","391",,,,,,,,,,"",,,0,,,,"118","",,,,"0",,426,,,,,,,,,135,,,,,,,,,
"149","snails","Schnecken","","Seafood","Meat","","Stück (Piece)",-0.1590220181,,1.749242199,-0.7155990816,,,,-0.7421027512,,0.5830807331,,,-0.7155990816,,,,,,,,,,,,,,,,,,,,"53.375",420,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,420,,,,,,,,,
"150","snow bunting","Schneevogel","Referred to as Schneeammer in Krünitz","Meat","Meat","Bird, wild","Stück (Piece)",0.4259897168,0.1657697541,-0.2679301839,-0.5108021491,0.2004657491,,,-0.2158861913,2.282225451,,,,-1.031242075,-1.048590072,,,,,,,,,,,,,,,,,,,"1",1,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"151","sparrows and skylarks","Spreen u. Lÿrchen","","Meat","Meat","Bird, wild","Stück (Piece)",-1.417374521,0.8733317756,0.07158457177,,,,,,,,,,0.4724581737,,,,,,,,,,,,,,,,,,,,"7.142857143",44,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"280","",,,,"",,,,,,,,,,,,,,,,,,,,
"154","starling","Spreen","From a Platdeutsch word see: http://www.welt.de/welt_print/article1243926/Auf-ein-Platt-Wort.html","Meat","Meat","Bird, wild","Stück (Piece)",-0.34959648,-0.6963398546,-0.2009921767,-0.4321544263,-0.3908754532,-0.6055261136,3.667879583,-0.1019226411,,-0.1184342303,-0.4982007834,,-0.5147123727,-0.09779474376,-0.2092479713,0.4677271885,0.0219142784,-0.4073870425,,,,,0.4656632399,,,,,,,,,,"18.14285714",48,1,,"107",,,"24","19","",,,,,,,,,,"",,,,,,,"","",,,,"6",,,,,,,,,,,,,,,,,,,,
"156","suckling pig","Spanferkel","","Meat","Meat","Pork","Stück (Piece)",-0.7071067812,,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.16666667",46,0,,"432",,,"227","160","170",,,,,,,,,,"",,,0,,,2,"279","105",,,,"0",,4,3,,,,,,,,7,,,,,,,,,
"158","swans","Schwanen","","Meat","Meat","bird, wild","Stück (Piece)",,1.30558242,,-0.7833494518,,,,,,0.2611164839,,,-0.7833494518,,,,,,,,,,,,,,,,,,,,"0.875",1,0,,"",,,"","","",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"160","thrush","Drußeln/Droßelln","","Meat","Meat","Bird, wild","Stück (Piece)",1.667688795,-0.521735042,-0.3121093555,0.0838502746,,,,-0.917694672,,,,,,,,,,,,,,,,,,,,,,,,,"25.88888889",67,1,,"1680",,,"116","345","2351",,,,,,,,,,"",,,12,,,,"18","2068",,,,"",,46,,,,,,,,,,,,,,,,,,
"163","veal","Kälber","","Meat","Meat","Beef","Stück (Piece)",-0.2553348448,,0.05933837942,-0.8091597194,,,,,-0.8846812932,-0.6203557848,,,,,,,,,,,,,0.5628155381,,1.947377725,,,,,,,,"40.015625",159,1,,"977.85",,,"523.13","685.85","779.75",,,,,,,,,,"",,,3,,,18,"1,646.50","148.75",,,,"4",,20,12.5,15,14.5,,,,,,68.25,,159,,,,,,6,
"166","waxwing","Seÿden SchwäntzSchwantz/Seiden Schwäntz","","Meat","Meat","Bird, wild","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.9",240,1,,"343",,,"","580","186",,,,,,,,,,"",,,,,,15,"2076","",,,,"",,,,,,,,,,,130,,240,,,,,,,
"168","westphalian ham","Westphalische Schincken","","Meat","Meat","pork","Stück (Piece)",0.2001132649,-0.8504813757,1.484173381,-0.111174036,,,,-1.35632324,,1.01724243,-0.3835504243,,,,,,,,,,,,,,,,,,,,,,"1",1,1,,"3",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"170","wild boar","Wildeschweine","","Meat","Meat","pork, wild","Stück (Piece)",-0.1152188251,,0.2486300964,0.4669394493,,,,-1.643384295,,1.376561753,-0.3335281781,,,,,,,,,,,,,,,,,,,,,,"33.31818182",95,0,,"41",,,"31.37","30.75","86.25",,,,,,,,,,"",,,0.5,,,,"37","3",,,,"94",,0,,,,,,,,,1,,1,,,,,,,
"171","wild geese","Wilde Gänße","","Meat","Meat","bird, wild","Stück (Piece)",-0.3705804183,0.3589997802,0.08106446651,1.991869748,,,,-1.030676788,,0.04632255229,0.8801284935,,,-1.030676788,,,,,,,,,-0.9264510458,,,,,,,,,,"26.375",74,0,,"20",,,"12","41","25",,,,,,,,,,"",,,0,,,,"47","19",,,,"",,,,,,,,,,,,,,,,,,,,
"172","wild turkey","Kalkuhnen","","Meat","Meat","bird, fowl","Stück (Piece)",0.7071067812,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37",136,0,,"196",,,"133","168","358",,,,,,,,,,"",,,0,,,3,"79","293",7,,,"6",,21,5,,,,,,,,77,,136,,,,,,,
"174","yellow hammer","Goldämmer","","Meat","Meat","Bird, wild","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.5",84,0,,"2092",,,"","2685","4453",,,,,,,,,,"",,,0,,,,"7109","2491",,,,"",,,,,,,,,,,,,,,,,,,,
"175","young boar","Fröschlinge","","Meat","Meat","pork, wild","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.5",88,0,,"13",,,"20.25","18.37","74.25",,,,,,,,,,"",,,0,,,,"19","4",,,,"",,0,,,,,,,,,3,,,,,,,,,
